# Bin_center(Angstroms) Mean_Distribution Error
0.500000 0.025545 0.001734
1.500000 0.078727 0.004169
2.500000 0.111182 0.004379
3.500000 0.122182 0.004056
4.500000 0.119636 0.003834
5.500000 0.104091 0.003657
6.500000 0.092727 0.003069
7.500000 0.082273 0.002700
8.500000 0.066091 0.003132
9.500000 0.055364 0.003046
10.500000 0.035909 0.002376
11.500000 0.031545 0.003581
12.500000 0.021636 0.002774
13.500000 0.019000 0.002174
14.500000 0.013000 0.002058
15.500000 0.006636 0.001364
16.500000 0.004182 0.000903
17.500000 0.002636 0.001055
18.500000 0.003364 0.000907
19.500000 0.002909 0.001436
20.500000 0.000909 0.000547
21.500000 0.000182 0.000122
22.500000 0.000091 0.000091
23.500000 0.000000 0.000000
24.500000 0.000091 0.000091
25.500000 0.000000 0.000000
26.500000 0.000000 0.000000
27.500000 0.000000 0.000000
28.500000 0.000000 0.000000
29.500000 0.000000 0.000000
30.500000 0.000000 0.000000
31.500000 0.000091 0.000091
32.500000 0.000000 0.000000
33.500000 0.000000 0.000000
34.500000 0.000000 0.000000
35.500000 0.000000 0.000000
36.500000 0.000000 0.000000
37.500000 0.000000 0.000000
38.500000 0.000000 0.000000
39.500000 0.000000 0.000000
