# Bin_center(Angstroms) Mean_Distribution Error
0.500000 0.023455 0.001021
1.500000 0.091909 0.002959
2.500000 0.129000 0.004197
3.500000 0.143091 0.001904
4.500000 0.139727 0.003385
5.500000 0.122000 0.002625
6.500000 0.103636 0.003226
7.500000 0.076909 0.002871
8.500000 0.058000 0.002288
9.500000 0.040273 0.003333
10.500000 0.026818 0.001757
11.500000 0.015455 0.001670
12.500000 0.009818 0.001313
13.500000 0.006182 0.001793
14.500000 0.004818 0.001166
15.500000 0.002636 0.000834
16.500000 0.003000 0.000924
17.500000 0.001182 0.000553
18.500000 0.001273 0.000915
19.500000 0.000091 0.000091
20.500000 0.000091 0.000091
21.500000 0.000000 0.000000
22.500000 0.000091 0.000091
23.500000 0.000364 0.000364
24.500000 0.000091 0.000091
25.500000 0.000000 0.000000
26.500000 0.000000 0.000000
27.500000 0.000000 0.000000
28.500000 0.000000 0.000000
29.500000 0.000000 0.000000
30.500000 0.000000 0.000000
31.500000 0.000000 0.000000
32.500000 0.000000 0.000000
33.500000 0.000000 0.000000
34.500000 0.000000 0.000000
35.500000 0.000000 0.000000
36.500000 0.000091 0.000091
37.500000 0.000000 0.000000
38.500000 0.000000 0.000000
39.500000 0.000000 0.000000
