# Bin_center(Angstroms) Mean_Distribution Error
0.500000 0.031636 0.001636
1.500000 0.115636 0.002454
2.500000 0.165273 0.004213
3.500000 0.176182 0.004103
4.500000 0.158182 0.004344
5.500000 0.136000 0.003368
6.500000 0.091636 0.002902
7.500000 0.056000 0.004029
8.500000 0.033000 0.002149
9.500000 0.020636 0.001790
10.500000 0.009000 0.001531
11.500000 0.003091 0.000756
12.500000 0.002273 0.001153
13.500000 0.000273 0.000141
14.500000 0.000364 0.000364
15.500000 0.000273 0.000273
16.500000 0.000182 0.000122
17.500000 0.000000 0.000000
18.500000 0.000000 0.000000
19.500000 0.000000 0.000000
20.500000 0.000091 0.000091
21.500000 0.000273 0.000141
22.500000 0.000000 0.000000
23.500000 0.000000 0.000000
24.500000 0.000000 0.000000
25.500000 0.000000 0.000000
26.500000 0.000000 0.000000
27.500000 0.000000 0.000000
28.500000 0.000000 0.000000
29.500000 0.000000 0.000000
30.500000 0.000000 0.000000
31.500000 0.000000 0.000000
32.500000 0.000000 0.000000
33.500000 0.000000 0.000000
34.500000 0.000000 0.000000
35.500000 0.000000 0.000000
36.500000 0.000000 0.000000
37.500000 0.000000 0.000000
38.500000 0.000000 0.000000
39.500000 0.000000 0.000000
