# bin_center	<Rg>	+/-
2.000000000000000000e+01 1.305014831595435787e+01 2.174379575671619991e-01
6.000000000000000000e+01 1.343179631199311963e+01 2.422339003785537737e-01
1.000000000000000000e+02 1.290531046689416783e+01 1.944006530057589832e-01
1.400000000000000000e+02 1.353925886704093173e+01 2.195359530428200034e-01
1.800000000000000000e+02 1.336554569764202505e+01 1.792990951336855543e-01
2.200000000000000000e+02 1.337788128899476980e+01 1.780024893264691432e-01
2.600000000000000000e+02 1.298977940692977207e+01 1.402453625719163044e-01
3.000000000000000000e+02 1.335144329981440769e+01 1.380974869086041834e-01
3.400000000000000000e+02 1.340987289569721774e+01 1.452133984540153466e-01
3.800000000000000000e+02 1.334269864910606351e+01 1.334704220238117356e-01
4.200000000000000000e+02 1.353295584488007819e+01 1.327647610958372359e-01
4.600000000000000000e+02 1.337563524238151125e+01 1.259117231596963704e-01
5.000000000000000000e+02 1.335514757783094275e+01 1.154634876064766086e-01
5.400000000000000000e+02 1.331400815201168975e+01 1.128306658537733681e-01
5.800000000000000000e+02 1.331188787962451237e+01 1.058702155478626616e-01
6.200000000000000000e+02 1.319117256640385349e+01 9.759926593646679749e-02
6.600000000000000000e+02 1.313556568033745364e+01 9.732318657413582819e-02
7.000000000000000000e+02 1.310877896642355012e+01 1.350222409910930566e-01
7.400000000000000000e+02 1.264731189395032018e+01 9.522046050635835091e-02
7.800000000000000000e+02 1.273602187070334502e+01 4.903792541832294183e-02
8.200000000000000000e+02 1.275712197034425621e+01 4.010465276950881536e-02
8.600000000000000000e+02 1.279214245545802520e+01 3.694288394299969497e-02
9.000000000000000000e+02 1.265958768635100284e+01 3.200112031862690359e-02
9.400000000000000000e+02 1.303131847222192974e+01 1.183487379349013394e-02
9.800000000000000000e+02 1.321155699751869861e+01 7.034587659682168398e-03
1.020000000000000000e+03 1.321622053871111646e+01 7.081220200452488858e-03
1.060000000000000000e+03 1.297295268168025650e+01 1.185151065226914754e-02
1.100000000000000000e+03 1.278959652226699006e+01 4.034195208673943545e-02
1.140000000000000000e+03 1.268429819590779140e+01 4.826789955754614420e-02
1.180000000000000000e+03 1.267085049449290324e+01 6.442205550354181132e-02
1.220000000000000000e+03 1.262612892059822833e+01 9.133169836196240732e-02
1.260000000000000000e+03 1.269319246009926871e+01 1.519832878193526915e-01
1.300000000000000000e+03 1.271115082119103157e+01 2.365292263750675694e-01
1.340000000000000000e+03 1.314514578626197228e+01 2.003365474443174477e-01
1.380000000000000000e+03 1.308799751153004642e+01 1.842164660069763316e-01
1.420000000000000000e+03 1.324417235435042173e+01 2.148253051043537976e-01
1.460000000000000000e+03 1.335369719942683098e+01 2.495614443057066756e-01
1.500000000000000000e+03 1.377661005481086853e+01 2.321955587409620381e-01
1.540000000000000000e+03 1.347930554388498159e+01 2.546785972445975710e-01
1.580000000000000000e+03 1.279541973988294856e+01 2.571570063019102403e-01
1.620000000000000000e+03 1.286175051676241310e+01 2.119316787669093261e-01
1.660000000000000000e+03 1.344303815265939406e+01 2.806672801230091774e-01
1.700000000000000000e+03 1.327757076842077133e+01 2.334183726783078949e-01
1.740000000000000000e+03 1.375878228239740331e+01 2.810246710526522751e-01
1.780000000000000000e+03 1.360152188586492450e+01 3.162984454861685890e-01
1.820000000000000000e+03 1.330691122235266377e+01 2.466456644642097407e-01
1.860000000000000000e+03 1.356562053335166951e+01 2.504474602802330141e-01
1.900000000000000000e+03 1.378590460263663253e+01 2.748108600524131750e-01
1.940000000000000000e+03 1.354940318862414905e+01 2.695762038439935004e-01
1.980000000000000000e+03 1.335045906020760675e+01 2.344930501368847897e-01
