# bin_center	<Rg>	+/-
2.000000000000000000e+01 6.500736964057076683e+00 2.419715847260014638e-02
6.000000000000000000e+01 6.540540942204012609e+00 2.322118038886928498e-02
1.000000000000000000e+02 6.551441365689714580e+00 2.315294027908313887e-02
1.400000000000000000e+02 6.540129602916236351e+00 2.270221135621756925e-02
1.800000000000000000e+02 6.506744950180725517e+00 2.238605285953580368e-02
2.200000000000000000e+02 6.476982942608338512e+00 2.304522782497428132e-02
2.600000000000000000e+02 6.537569969510582446e+00 2.299557658286729631e-02
3.000000000000000000e+02 6.553081609810459618e+00 2.230829102644668951e-02
3.400000000000000000e+02 6.550875985528437973e+00 2.215598549119702707e-02
3.800000000000000000e+02 6.526225342990506384e+00 2.134719517354247489e-02
4.200000000000000000e+02 6.548106767542908102e+00 1.998603177345766382e-02
4.600000000000000000e+02 6.512492710582310274e+00 1.980343682203772326e-02
5.000000000000000000e+02 6.531666619618748726e+00 1.963361827654262759e-02
5.400000000000000000e+02 6.522380150301591684e+00 1.851068767236011686e-02
5.800000000000000000e+02 6.501575894167795688e+00 1.897652157528487843e-02
6.200000000000000000e+02 6.544258392408165648e+00 1.801538147233009216e-02
6.600000000000000000e+02 6.526738352501753937e+00 1.840883864998272765e-02
7.000000000000000000e+02 6.493372669895900451e+00 2.167234003192269540e-02
7.400000000000000000e+02 6.425863370101194683e+00 1.681042545185202838e-02
7.800000000000000000e+02 6.450283925307911836e+00 1.029063567034553713e-02
8.200000000000000000e+02 6.463088365991699114e+00 8.412313056312716031e-03
8.600000000000000000e+02 6.472266915196668080e+00 7.221407721722179415e-03
9.000000000000000000e+02 6.473997091677992977e+00 6.137502729822071242e-03
9.400000000000000000e+02 6.500943316278666728e+00 3.834901255950122143e-03
9.800000000000000000e+02 6.555515706402524678e+00 3.028960623382722425e-03
1.020000000000000000e+03 6.559821960194775592e+00 3.056163833067746926e-03
1.060000000000000000e+03 6.498357393733572351e+00 3.866880920004628526e-03
1.100000000000000000e+03 6.458536478479639520e+00 6.514623508891982141e-03
1.140000000000000000e+03 6.458409260670139318e+00 7.253431596556292500e-03
1.180000000000000000e+03 6.447111325029641904e+00 8.639953650866767296e-03
1.220000000000000000e+03 6.457676663626988223e+00 1.165616263969025852e-02
1.260000000000000000e+03 6.451410100792084101e+00 1.810901890478571960e-02
1.300000000000000000e+03 6.520270182769767331e+00 2.403611349554861040e-02
1.340000000000000000e+03 6.521186214301723183e+00 1.901458773189653589e-02
1.380000000000000000e+03 6.504141968204376845e+00 1.895013184220744121e-02
1.420000000000000000e+03 6.501125975406179869e+00 2.021004715900236171e-02
1.460000000000000000e+03 6.549806232758230706e+00 1.989964281468528662e-02
1.500000000000000000e+03 6.519559191206586668e+00 2.107527477169746782e-02
1.540000000000000000e+03 6.524022273631695512e+00 2.180496765702962317e-02
1.580000000000000000e+03 6.513852598396647764e+00 2.213112739258978751e-02
1.620000000000000000e+03 6.509551743920716227e+00 2.174836362473779941e-02
1.660000000000000000e+03 6.537914724473033345e+00 2.294792493842945369e-02
1.700000000000000000e+03 6.504000879587847450e+00 2.196920793884641482e-02
1.740000000000000000e+03 6.502276640572302924e+00 2.266918606022959304e-02
1.780000000000000000e+03 6.555129774456743164e+00 2.305199562445271397e-02
1.820000000000000000e+03 6.570324195417314606e+00 2.311036424006908049e-02
1.860000000000000000e+03 6.524493199845941227e+00 2.353182343311953015e-02
1.900000000000000000e+03 6.511789802932173465e+00 2.319490109275436709e-02
1.940000000000000000e+03 6.525383399600873879e+00 2.381132561519444871e-02
1.980000000000000000e+03 6.522114821679154240e+00 2.383305334457195418e-02
